Venue,Capacity,Basketballteam(s),Location,Country,Image
Philippine Arena,55000,Philippine Basketball Association Teams,Bocaue,Philippines,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Philippine_Arena_-_front_view_%28Bocaue%2C_Bulacan%29%282019-05-05%29.jpg/150px-Philippine_Arena_-_front_view_%28Bocaue%2C_Bulacan%29%282019-05-05%29.jpg
JMA Wireless Dome,49057,"Syracuse Orange men's basketball, Syracuse Orange women's basketball",Syracuse,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Carrier_Dome_-_New_Roof_2021_%28Jimhoward03%29.jpg/150px-Carrier_Dome_-_New_Roof_2021_%28Jimhoward03%29.jpg
KFC Yum! Center,22090,"Louisville Cardinals men's basketball, Louisville Cardinals women's basketball",Louisville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/The-Yum-Center.jpg/150px-The-Yum-Center.jpg
Greensboro Coliseum Complex,22000,UNC Greensboro Spartans men's basketball,Greensboro,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/NCAA_Tournament_%283369506340%29.jpg/150px-NCAA_Tournament_%283369506340%29.jpg
Dean Smith Center,21750,North Carolina Tar Heels,Chapel Hill,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Dean_E._Smith_Center_%28Florida_State_vs._North_Carolina_-_February_23%2C_2019%29.jpg/150px-Dean_E._Smith_Center_%28Florida_State_vs._North_Carolina_-_February_23%2C_2019%29.jpg
Thompson–Boling Arena,21678,"Tennessee Volunteers basketball, Tennessee Lady Volunteers basketball",Knoxville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Thompson-Boling-Arena.jpg/150px-Thompson-Boling-Arena.jpg
Wells Fargo Center,21000,Philadelphia 76ers and some Villanova Wildcats men's basketball and Temple Owls men's basketball games,Philadelphia,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/76ers_WFC_2016.jpg/150px-76ers_WFC_2016.jpg
United Center,20917,Chicago Bulls,Chicago,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/United_Center_pano.jpg/150px-United_Center_pano.jpg
Rupp Arena,20545,"Kentucky Wildcats men's basketball, Kentucky boys' high school tournament",Lexington,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Rupp_Arena_-_UCLA_v._UK_on_12-03-16.jpg/150px-Rupp_Arena_-_UCLA_v._UK_on_12-03-16.jpg
Scotiabank Arena,20511,Toronto Raptors,Toronto,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Scotiabank_Arena_Panorama.jpg/150px-Scotiabank_Arena_Panorama.jpg
Moda Center,20500,Portland Trail Blazers,Portland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Rose_Garden_Arena_Interior.jpg/150px-Rose_Garden_Arena_Interior.jpg
Capital One Arena,20356,"Washington Wizards, Georgetown Hoyas men's basketball","Washington, D.C.",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/2018_A-10_Final.jpg/150px-2018_A-10_Final.jpg
Little Caesars Arena,20332,Detroit Pistons,"Detroit, MI",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Interior_of_little_Caesars_arena_panorama.jpg/150px-Interior_of_little_Caesars_arena_panorama.jpg
Mall of Asia Arena,20000,All UAAP and PBA teams,"Pasay, NCR",Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mall_of_Asia_Arena_2019.jpg/150px-Mall_of_Asia_Arena_2019.jpg
Delta Center,20000,Utah Jazz,Salt Lake City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Energy_Solutions_Arena.JPG/150px-Energy_Solutions_Arena.JPG
PNC Arena,20000,NC State Wolfpack men's basketball,Raleigh,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/PNC_Arena.jpg/150px-PNC_Arena.jpg
Bridgestone Arena,20000,Regular host of Southeastern Conference Men's Tournament,Nashville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/2014_NCAA_women%27s_basketball_tournament_Final_Four_Nashville.jpg/150px-2014_NCAA_women%27s_basketball_tournament_Final_Four_Nashville.jpg
American Airlines Center,20000,Dallas Mavericks,Dallas,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/American_Airlines_Center2242.JPG/150px-American_Airlines_Center2242.JPG
Target Center,20000,"Minnesota Timberwolves, Minnesota Lynx",Minneapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/012308-TC-Twolves001.jpg/150px-012308-TC-Twolves001.jpg
Crypto.com Arena,20000,"Los Angeles Clippers, Los Angeles Lakers, Los Angeles Sparks",Los Angeles,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Staples_Center_Lakers.jpg/150px-Staples_Center_Lakers.jpg
Nationwide Arena,20000,"Ohio State Buckeyes men's basketball, Ohio State Buckeyes women's basketball",Columbus,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/NationwideArena.jpg/150px-NationwideArena.jpg
T-Mobile Arena,20000,Pac-12 Conference Men's Tournament,Paradise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Frozen_Fury%2C_Las_Vegas_%2835162282886%29.jpg/150px-Frozen_Fury%2C_Las_Vegas_%2835162282886%29.jpg
Kaseya Center,19600,Miami Heat,Miami,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Player_introductions_before_a_Miami_Heat_game.jpg/150px-Player_introductions_before_a_Miami_Heat_game.jpg
TD Garden,19580,Boston Celtics,Boston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Basketball_Game_TD_Garden.jpg/150px-Basketball_Game_TD_Garden.jpg
Thomas & Mack Center,19552,UNLV Runnin' Rebels basketball,Paradise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/ThomasandMackinside.jpg/150px-ThomasandMackinside.jpg
Ball Arena,19520,Denver Nuggets,Denver,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Pepsi_center_interior.jpg/150px-Pepsi_center_interior.jpg
